,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
181,BoldTek India Private Limited,Jr. Data Scientist/ ML Engineer,Guwahati,"Jr. Data Scientist/ ML Engineer
Skill Requirements
0-1 year of experience as a Data Scientist/ML Engineer
Hands-on development experience using Python and various libraries related to data science/analytics framework, and Text/String processing libraries
Knowledge of R, SQL, Python, API; familiarity with Scala, Java or C# is an asset
Experience in various machine learning libraries- Tensor Flow, scikit-learn, PyTorch, ML.NET etc
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop/Spark)
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Knowledge of model deployment and Cloud service such as AWS, Azure, GCP etc.
Strong practical experience in understanding business process, capturing complex client business requirements, develop and propose architecture/designs to clients, develop detail features/requirements and perform development/test
Problem-solving aptitude with analytical mind and business acumen
Strong in verbal and written communication
Job Responsibilities
Responsible to understand existing solution architecture/framework, ability to work with clients around the globe to develop new requirement
Propose solutions and strategies to business challenges
Identify valuable data sources and automate data collection processes
Undertake preprocessing of structured and unstructured data to discover trends and patterns
Build custom predictive models and machine-learning algorithms
Deploy ML model and solution on cloud/local server
May require some travels (domestic, international)
Qualifications
A Degree in computer science engineering, or equivalent technical degree
Any Data science certification will be a plus
Nice to have
Working experience in development projects and maintaining relationship with international clients
Working experience in Agile application development methodology
Job Types: Full-time, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Experience:
total work: 1 year (Preferred)
Show Less
Report","₹22,500 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
182,"Kmart
3.4",Data Scientist,Bangalore,"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Data Management Skills using SQL
Basic understanding of statistical alorithms and programming in a language such as R, Python, or SAS, SPSS, MATLAB

Desired qualification and work experience

Develop & maintain data science solutions to drive incremental value for the Kmart Group
Hypotheses driven solutioning to data science problems
Analyse and model structured/unstructured data using advanced statistical methods
Communicate findings to internal teams to enable business

Technical Skills

To be successful in this role you will require the following attributes:
Detail-oriented team player with strong interpersonal skills
Hypotheses driven solutioning
Inquisitivness balanced with commitment to timelines
Fluent in verbal and written communication(English)

A place you can belong

We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less
Report","₹3,32,718 /yr (est.)",10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD)
183,"Eve World Platform
4.5",Python Machine Learning Engineer,Remote,"ABOUT EVE WORLD
Eve World is a deep tech social media, community & e-commerce mobile super app; web3, DAO, Blockchain based, bridging the gap in providing freedom in the virtual world through relatable multi-format, entertaining content, creator and community tools.
THE ROLE
You will be working on our highly sophisticated web3.0 social commerce platform, contributing to our backend recommendations system which provide user recommendations to the user on the coto app.
The system will take multiple data sources to build user level recommended content, based on location, content consuming history, age and other parameters.
To build these features you must have experience in Machine Learning algorithms.
TO BE SUCCESSFUL YOU MUST HAVE:
Experience in building Realtime Content Recommendation Systems using Python and Machine Learning.
Experience in building backend API using some of the following technologies
boto3
confluent-Kafka
Flask
pandas
pymongo
PyMySQL
redis
redispy
This is a unique opportunity to join a fast growing start-up at the early stages where you will grow with the product and see your work scale globally. Don’t hesitate to contact us today
Job Type: Full-time
Salary: ₹190,000.00 - ₹230,000.00 per month
Benefits:
Flexible schedule
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Monday to Friday
Show Less
Report","$2,10,000 /mo (est.)",51 to 200 Employees,Company - Private,Information Technology,Software Development,2021,Unknown / Non-Applicable
184,"Colgate-Palmolive
4.2",Supply Chain Network Data & Analytics Specialist,Mumbai,"Relocation Assistance Offered Within Country
# 141580 - Mumbai, Maharashtra, India

About Colgate-Palmolive:
Do you want to come to work with a smile and leave with one as well? In between those smiles, your day consists of connecting with others across the world, full of stimulating discussions, and making impactful contributions!
If this is how you see your career, Colgate is the place to be! Our diligent household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. We win as a global organization by continually learning and collaborating. The pride in our brand fuels a workplace that encourages creative thinking champions experimentation and promotes authenticity which has contributed to our enduring success. If you want to work for a company that lives by its values, then give your career a reason to smile...every single day.

Role’s top Objectives:
Set up the data & Analytics Transformation roleE for CP India Supply Chain with clear definition of the areas of impacts
Setting up the key processes to accelerate the D&A journey for CP India SC
Establishing the sources and channels for data flow and the analytics cycle for various projects and ongoing core analytics
Continuously identify the analytics opportunities to keep expanding the scope for driving operational efficiencies and transformation work

Core responsibilities:
Partner with stakeholders to Identify, execute and Implement analytics projects to drive the Supply Chain Strat. plans.
Manage local & global project related to digital & Analytics
Testing digital platform and technology transfer
Study the best practices, internally and externally and share and implement the learning’s.
Collaborate with cross functional team to develop innovative solutions for supply chain to
meet business needs
Improve people capability for digital and analytics
Using automated tools to extract data from primary and secondary sources
Developing and maintaining databases, data systems – reorganizing data in a readable format
Performing analysis to assess quality and meaning of data
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Creating and generating periodic reports to share insights for business opportunities
Helping plant teams with technical expertise to build local D&A capabilities

Required Skills & Qualification:
In order of preference
A Supply Chain/manufacturing Professional with 2-3 years post MBA of experience who has done work in the field of Data and Analytics.
Bachelor’s in Data Science/Computer Science/Engineering/Statistics and 5+ years experience required OR Graduate degree in quantitative discipline and demonstrated Data Science skill set, plus 2+ years work experience.

Must have proficiency with applying Data Science techniques on large scale data sets: Machine learning to solve clustering, classification, regression, anomaly detection; Optimization or simulation techniques to solve prescriptive problems. Must have proven ability to derive new insights by merging and transforming internal & external data sets Experience with Big Data technologies desired. Exposure in implementing Industry 4.0 led Digital platform is a plus. Hands-on experience in using Python/R scripting will be useful; along with exposure towards data management through SQL.

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.
Start your job application: click Apply Now
Show Less
Report","₹3,88,651 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,1806,$10+ billion (USD)
185,vwex edutech pvt ltd,Artificial Intelligence and Machine Learning,Thrissur,"Training will be provided online for 3 months initially.
Responsibilities: -
Provide technical leadership and implementation for projects supporting our AI and machine learning goals
Modify, implement, test and support all product related technology and functionality, including software infrastructure
Communicate proactively with team members and product stakeholders in a highly agile environment
Self-manage tasks with little oversight and deliver results according to stated timelines and budgets
Requirements
B-Tech / M-Tech graduates in computer science or similar field.
Strong to expert ability in Python as a primary language
Experience building automated processes that are supportable, monitored and enterprise-scale
Extensive experience building Chatbots, Voicebots and NLP processing
Experience working with and integrating services from popular ML packages such as Keras, TensorFlow, XGBoost and SciKit Learn
Above average capabilities with cloud computing techniques or tools such as S3, EC2, EMR, SageMaker, ECS, Lambda, IAM
SQL design and development skills
Strong drive to learn and advocate for development best practices (TDD, code reviews, continuous integration, etc.)
Strong interpersonal and communication skills
1+ experience
Job Types: Full-time, Regular / Permanent
Salary: From ₹15,000.00 per month
Speak with the employer
+91 9526637373
Show Less
Report","₹15,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
186,Elvira technologies,Data science,Gurgaon,"Job Description
ProfileJob Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.
Job Type: Full-time
Salary: ₹500,000.00 - ₹700,000.00 per year
Schedule:
Monday to Friday
COVID-19 considerations:
no
Experience:
5yrs: 1 year (Preferred)
Work Location: One location
Show Less
Report","₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
187,"Hitachi India Pvt, Ltd.
3.8",Data Scientist / AI-ML Engineer,Bangalore,"Description
Data Scientist / AI-ML Engineer
Duties and Responsibilities:
1. Research and Develop Innovative Solutions and Quantitative Models for positive impact on Hitachi’s business (e.g., Energy, Industry, Mobility, Smart Life and Financial Services).
2. Provide R&D support to Hitachi business units and group companies for commercialization of research prototypes. This includes Design, Implementation and Demonstration of Proof-of-Concept (PoC) and Working Proto-types,. Exploration of emerging tools, techniques, and technologies are expected.
3. Collaborate with cross-functional teams, eco-system partners and academia for business benefit.
4. Generate eminence via patents, publications, thought leadership, invited speakerships and conspicuous presence in forums of repute.
5. Add value to self through continuous learning and knowledge acquisition.
Requirements:
1. Academic Qualification: Bachelor’s degree in any discipline with strong quantitative flavor (e.g., STEM background like that in Science, Technology, Engineering and Management). Advanced qualifications like candidates with Master’s or Doctorate are welcome.
2. Strong Fundamentals: The candidate is required to build scientific models from first principles and hence need to have excellent understanding of basics in mathematics and statistics (e.g., differential equations, linear algebra, matrix, combinatorics, probability, Bayesian statistics, eigen vectors, Markov models, Fourier analysis). Understanding of basic principles of business analytics like statistical distributions, regression, segmentation, decision-science algorithms is mandatory. Understanding of working principles of neural networks and underlying algorithms (e.g., CNN, RNN, LSTM, back-propagation, loss-functions, gradient descent) is a “plus”.
3. Hands-on Programming: Good programming skills in any one of the following languages is mandatory: C / C++ / Java / Python / Matlab.
4. Communication: Ability to articulate key messages concisely and precisely.
5. Collaboration: Good inter-personal and teaming skills.
Special Preference:
Eminence: Patents, publications, thought leadership, invited speakership and conspicuous presence in refereed platforms or forums of repute.
Show Less
Report","₹3,41,776 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD)
188,"A for Analytics IT Solutions
3.7",Machine Learning Specialist (Data Scientist),Chennai,"Full Job Description
‘A for Analytics’ is looking to hire a Data Scientist. A for Analytics is the leading global system Integrator for the last several years in the global Market, offering Business Intelligence, Data Engineering, Artificial Intelligence and ZOHO services to customers. A for Analytics helps customers in Advisory, Solution Delivery, 24/7 Technical Support and Fully Managed Services.
As a Data Scientist, you will apply your strategic and analytical skills to major company challenges. You will team with world-class professionals to identify actionable insights that ultimately impact the bottom line. We work in a space that looks deeply into emerging fraud trends and the business enablement opportunities that help the business in fuelling growth and strategic decisions. You will be able do it all in a collaborative environment that values your insight, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation with a global team that is multi-disciplinary with broad spectrum of industry experiences, deep analytical and quantitative expertise.
Responsibilities
Develop production-ready implementations of proposed solutions across different ML and DL algorithms, including testing on live customer data to improve efficacy, and robustness
Work closely with other functional teams to integrate implemented systems into the SaaS platform
Create use cases with respect to domain for solving a business problem.
Research and test novel machine learning approaches for analyzing large-scale distributed computing applications.
Suggest innovative and creative concepts and ideas that would improve the overall platform
Strong understanding of the most recent trends around telecom industry and adoption.
Requirements
Extensive experience handling data analytics in the telecom industry or on telecom products.
Exposure or Experience in building Recommendation engine in a large scale.
In-depth working knowledge beyond coursework, familiarity with statistical techniques and current ML techniques, both supervised and unsupervised learning techniques and other ML Techniques.
Experience on end to end ML models deployment in production.
Experience in working on modeling graph structures related to spatiotemporal systems.
Keras, TensorFlow,PyTorch. And knowledge of Big Data tools and environment.
Implementation experiences and deep knowledge of Classification, Time Series Analysis, Pattern Recognition, Reinforcement Learning, Deep Learning, Dynamic Programming and Optimization.
Knowledge of MySQL/No SQL is an added advantage.
Required Qualifications
· 3 – 4 years’ experience in analytics or program management
· 3 – 4 Proficiency using SQL and querying relational databases
· 3 - 4Experience in at least one statistical programming language (SAS, R, Python)
· 3 years experience with project/program management
Experience : At least 3years
Salary : Rs. 10,00,000.00 – Rs. 15,00,000.00 per year
Benefits:
Flexible schedule
Internet reimbursement
Leave encashment
Provident Fund
Health Insurance
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹1,500,000.00 per year
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
COVID-19 considerations:
Musk is necessary in the premises, Use sanitizer to keep your hands clean.
Ability to commute/relocate:
Thousand Lights, Chennai - 600002, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 7010947442
Show Less
Report","₹12,50,000 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2016,$25 to $50 million (USD)
189,"Alpha Net Consulting
4.4",Data Scientist/Machine Learning,India,"Data Scientist
Permanant WFH
Strong fundamentals in statistics, mathematics, and ML algorithms (neural networks, tree-based methods, optimizers, super/unsupervised learning, feature engineering)
Comfortable programming (but perhaps stronger stats/math/ML-applications), very comfortable debugging model & data pipelines.
- Strong attention to details - Drives projects forward. Clearly communicates blockers, next steps.
Very comfortable with Python, standard ML/AI frameworks & packages (TensorFlow, XGBoost, Scikit-learn, Pandas, Numpy)
Show Less
Report","₹30,00,000 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD)
190,TheHive,Data Scientist,Remote,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
 Combine models through ensemble modeling
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with engineering and product development teams
Skills:
 Proven experience as a Data Scientist or Data Analyst
 Experience in data mining
 Understanding of machine-learning and operations research
 Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
 Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
 Analytical mind and business acumen
 Strong math skills (e.g. statistics, algebra)
 Problem-solving aptitude
 Excellent communication and presentation skills
 BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contractual / Temporary
Salary: ₹150,000.00 - ₹250,000.00 per month
Schedule:
Monday to Friday
Night shift
US shift
Show Less
Report","$2,00,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
191,LeadIndia Manpower Services,"Fresher Data Analyst , Data Science , SQL , Python",Hassan,"Key skills :

Advanced Excel, word, PDF skills

Ability to work quickly manipulating and analyzing data

Ideally from a STEM background

Genuine interest in Data and Artificial intelligence

Python, C++ or VBA or SQL server experience is beneficial

Keen interest in automation artificial intelligence or data science essentially.

0-2 years experience

Until the Covid situation settles Work location is going to be remote .

Candidates must have ability to work from home and also in a position to use their personal laptop during this period.

Industry type
IT Services & Consulting
Functional area
Data Science & Analytics
Role
Data Analyst
Role category
Business Intelligence & Analytics
Employment type
Full Time, Permanent
Education
B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization
Any Postgraduate
Doctorate Not Required...
Experience
0 - 4 Years

Salary
3 Lac 50 Thousand To 5 Lac 50 Thousand P.A.

Industry
IT Hardware / Technical Support / Telecom Engineering

Qualification
Higher Secondary, Secondary School, Diploma, Advanced/Higher Diploma, Professional Degree, Other Bachelor Degree, B.C.A, B.Com, B.Sc, B.Tech/B.E

Key Skills
Data Analyst Data Specialist Data Scientist SQL Developer Python Developer IT Analyst


About Company
Contact Person
Ashish Ranjan

Address
12F

Mobile
9142736610

Email ID
hrashish@leadindia.info
Show Less
Report","₹4,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
192,DeployAD.Inc,Machine Learning Engineer,Nilambūr,"Urgently Require Machine Learning Engineer.
Requirements: -
Graduate ( Preferably Science/ Computer Science/ Electronic and Engineering/ Information Technology)
5 years of industry experience and 1 year of Experience in teaching.
Strong understanding of theory and practice in Machine Learning and AI
Proven ability to communicate technical knowledge to students.
Job Types: Full-time, Regular / Permanent
Salary: ₹30,000.00 - ₹35,000.00 per month
Schedule:
Day shift
Speak with the employer
+91 8139074545
Show Less
Report","₹32,500 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
193,Hire Me Technology Limited,Computer Vision / Machine Learning Engineer (Remote),New Delhi,"We are looking for excellent Computer Vision engineers who can take initiatives, design, and develop advanced machine learning solutions, and deploy them directly to the given platform. A talented machine learning engineer with expertise in computer vision and can apply different kinds of machine learning models to a diverse range of exciting and impactful client projects especially human detection, face tracking and augmented reality with human face, and augmented reality in Indoor/Outdoor environment. To be successful in this role, you need a strong machine learning experience with Computer Vision background, experience in deploying models to the cloud such as AWS, solid software development skills and docker, a love of learning, and to collaborate well in multi-disciplinary teams.
A successful candidate will take pride in working with engineers, product managers and business partners to identity and solve the most challenging safety and integrity problems in the internet scale. Candidate will conduct research on deep learning for application processors and multimedia processors with applications such as computer vision, or image and video processing. Candidate will work as part of a team on the system design, implementation, and verification of algorithms for application processors and multimedia processors. As a member of the team, you will develop innovative and sophisticated solutions to some of the most complex strategic business challenges. You will need to exhibit strong communication and leadership skills, an ability to set priorities, and an execution focus in a dynamic environment.
⃟Lead to build the trust and safety machine learning production models.
⃟Work on image classifiers, face detection and tracking, augmented reality, object detectors, video understanding models, multi-modal classifiers, human behavior and expression classification, face identification, and eyes tracking, , etc.
⃟Work with engineering teams to implement model pipeline and deploy the services with training automation.
⃟Collaborate with product teams to define objectives and improve trust and safety strategy.
⃟Collaborate with data analysts to understand and find data patterns.
⃟MS/PhD degree with 2+ years' relevant experience.
⃟Hands on experience in one or more of the areas for still images and videos processes.
⃟Good programming skills in Python and similar languages, and a deep understanding of data structures and algorithms.
⃟Good communication and teamwork skills, be passionate about learning new techniques and taking on challenging problems.
⃟Experience with Cloud platforms such as AWS, Azure, Google Cloud Platform (GCP).
⃟Excellent problem solving and analytical skills
⃟Excellent communication and collaboration skills with strong verbal and written skills.
⃟Passion for delivering business impact
Good to have:
⃟Experience in trust and safety machine learning models.
⃟Publications in top conferences.
⃟Experience in using Deep Learning, Bandits, Probabilistic Graphical Models, or Reinforcement Learning in real applications.
⃟Experience and good understanding of the math behind machine learning classification and regression algorithms.
Job Types: Full-time, Regular / Permanent
Schedule:
Day shift
Morning shift
Experience:
Computer vision: 2 years (Preferred)
Show Less
Report","₹4,09,878 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
194,"Airtel India
4.2",Data Scientist,Gurgaon,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.

Apply Now: click Apply Now
Show Less
Report","₹6,84,628 /yr (est.)",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,#N/A,$10+ billion (USD)
195,Centre For Translational Cancer Research -Prashanti Cancer Care Mission,Junior Data Scientist (Breast Cancer Clinical Data),Pune,"Job Description: Junior Data Scientist (Breast Cancer Clinical Data)
We at PCCM-CTCR are looking for the following candidate to join our Data Team to evolve the existing system and design the needed schema for research and medical-related data.
Responsibilities:
Knowledge of different information types and domains and aptitude to understand domains in the clinical field.
Some familiarity with GUI design and implementation and comfort with python is preferred.
Good communication skills and ability to work independently
Clinical Data entry, management and curation
Clinical Data record keeping
General project Administration and Reporting
Understanding and analysis of clinical metadata sheets.
You may also be required to contribute to various other verticals as needed.
Culture:
Applicant must own his/her work
Precision and diligence is a prerequisite
No compromise with our core values
The position is based in Pune city
This is a full time position
Work from home option is not available for this position.
6 days a week 10:00 am to 6:00 pm
Research Centre Profile:
Prashanti Cancer Care Mission, Pune has a growing Breast Cancer Research department. In a powerful model of public-private partnership, IISER Pune and Prashanti Cancer Care Mission established the Center for Translational Cancer Research (CTCR). CTCR aims to bring together clinicians and researchers to integrate breast cancer research, training, and education. This Centre is a first-of-its-kind initiative in India with world-class infrastructure and facilities for multidisciplinary training in translational cancer research. We anticipate that the activities of the Centre will have a direct positive impact on the national capacity for translational cancer research and, most importantly, on effective management of cancer in India. CTCR is the leading member in the formation of ICGA foundation. ICGA aims to build teams for multi-omics studies in Indian cancers. CTCR also has a valuable association with Persistent Systems and is initiated with a seed grant from Bajaj Auto
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Benefits:
Health insurance
Schedule:
Day shift
COVID-19 considerations:
Yes
Application Question(s):
List experience or degree in Biological Sciences
Experience:
total work: 2 years (Required)
Show Less
Report","₹30,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
196,GSN Solutions LLC (Pyx Tech Pvt Ltd),Data Scientist,Pune,"Company summary -
Pyx Tech, headquartered in Austin, Texas is a leading provider of technology-based solutions and services for global OEMs across key industries including High Tech, Retail, Supply Chain and After market services. Innovation starts with inclusion at Pyx Tech, where everyone's voice is heard, and diversity is valued. A chance not to be a spoke in the wheel, but an opportunity to help create new wheels of innovation. The ideal candidates are enthusiastic and motivated persons with a passion for creating lasting customer experiences and are able to respond quickly to multiple project needs. They will work closely with Customers, Product Managers, Operations and will design, develop, and implement solutions using the latest technology and tools. We believe in a learning culture where all team members have the opportunity to grow their skills and experiences. We are looking for the best candidates to help us create the future and make a difference.
Responsibilities
Gather and analyze data, using various types of analytics and reporting tools to detect patterns, trends, and relationships in data sets
Establish best practices for collecting data using analysis tools, and interpreting data
Process, cleanse, and verify the integrity of data used for analysis
Perform ad-hoc analysis and present results in a clear manner using appropriate medium
Process / mine huge volumes of structured, semi-structured and unstructured data using state of-the- art methods to derive meaningful insights in an appropriate format
Recommend tools, techniques, and practices across organization to enhance knowledge
Create complex predictive models using ML techniques and relevant tools.
Skillset Required / Mandatory
Excellent knowledge of Statistics, especially distributions, likelihood estimators, etc.
Hands on experience withone of these programming languages: Python / R
Extensive knowledge of Machine Learning concepts and techniques, along with knowledge of various algorithms and their use cases
Experience in using Business Intelligence (BI) tools like Tableau (or equivalent)
Hands onexperience in using SQL programming with Microsoft SQL Server / MySQL
Excellent documentation skills, including advanced use of Microsoft Excel, Word, and PowerPoint
Ability to work independently with minimum input or assistance
Ability to effectively communicate with all levels of audience – business and technical
Qualifications
* Bachelor's degree in Engineering or equivalent, Master’s degree will have additional
weightage
* Minimum 10+ years of experience working in enterprise projects / programs that
involve extensive dataprocessing andanalysis
* Data Scientist certification from reputed institution / university is desirable
If interested ,Please share your cv asap .
Regards
Preeti Sawant
Pyx Tech Pvt Ltd
Job Type: Full-time
Salary: ₹1,800,000.00 - ₹3,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Leave encashment
Provident Fund
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
total work: 10 years (Preferred)
Statistics: 10 years (Preferred)
Machine learning: 10 years (Preferred)
Python/R: 10 years (Preferred)
SQL programming: 10 years (Preferred)
Tableau: 10 years (Preferred)
Business Intelligence: 10 years (Preferred)
Speak with the employer
+91 9284564155
Show Less
Report","₹26,50,000 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
